date,acc,PID
38:33.2,2.56788E+11,80G0
46:23.8,2.5679E+11,WLIW
12:27.7,2.56754E+11,U1DD
34:17.5,2.56703E+11,T0LZ
16:06.6,2.56704E+11,80G0
59:50.0,2.56701E+11,U1DD
32:58.8,2.56786E+11,U1DD
25:22.5,2.56701E+11,6Q4Z
10:49.7,2.56705E+11,WLIW
49:09.9,2.56775E+11,WLIW
55:10.1,2.56752E+11,WLIW
01:38.7,2.56774E+11,U1DD
31:30.7,2.56774E+11,WLIW
33:09.9,2.56772E+11,5YR6
16:45.6,2.56701E+11,WLIW
07:20.7,2.56789E+11,WLIW
29:02.0,2.56775E+11,U1DD
41:18.5,2.56751E+11,T0LZ
07:05.4,2.56705E+11,WLIW
48:10.2,2.56702E+11,P7R7
28:35.8,2.56701E+11,WLIW
51:59.5,2.56702E+11,80G0
17:55.8,2.56783E+11,U1DD
10:21.6,2.56771E+11,WLIW
57:49.7,2.56756E+11,U1DD
41:13.1,2.56702E+11,80G0
17:24.4,2.5678E+11,80G0
11:44.1,2.56782E+11,Q9SJ
16:45.6,2.56E+11,U1DD
38:15.4,2.56312E+11,80G0
06:37.2,2.56781E+11,WLIW
05:25.4,2.56776E+11,80G0
40:47.1,2.56772E+11,WLIW
28:07.2,2.56776E+11,WLIW
25:21.6,2.56702E+11,80G0
51:04.3,2.56702E+11,T0LZ
55:36.7,2.56774E+11,80G0
58:02.9,2.56785E+11,WLIW
49:53.8,2.56778E+11,U1DD
47:27.5,2.56707E+11,U1DD
36:40.2,2.5678E+11,WLIW
18:28.2,2.56773E+11,WLIW
31:03.8,2.56785E+11,80G0
35:56.8,2.56778E+11,WLIW
36:48.8,2.56772E+11,DJGS
43:37.9,2.56312E+11,80G0
49:58.8,2.56757E+11,3USE
26:59.0,2.56701E+11,6Q4Z
11:25.1,2.56783E+11,WLIW
16:18.8,2.56705E+11,80G0
26:17.1,2.56704E+11,T2MU
51:28.7,2.56786E+11,U1DD
17:36.4,2.56703E+11,80G0
09:06.3,2.56753E+11,U1DD
29:27.2,2.5678E+11,WLIW
23:22.9,2.56703E+11,U1DD
19:38.9,2.56772E+11,6Q4Z
41:44.2,2.5675E+11,WLIW
50:35.4,2.56701E+11,WLIW
29:10.9,2.56792E+11,DJGS
21:30.6,2.56776E+11,WLIW
30:01.4,2.56701E+11,WLIW
28:47.2,2.56758E+11,80G0
39:58.7,2.56703E+11,WLIW
48:48.8,2.5675E+11,U1DD
49:04.9,2.56752E+11,5YR6
34:41.7,2.56706E+11,WLIW
57:45.1,2.56783E+11,80G0
28:21.5,2.56786E+11,DJGS
07:32.3,2.56783E+11,WLIW
18:25.8,2.56776E+11,YEPH
12:19.4,2.56703E+11,DJGS
22:23.1,2.56701E+11,WLIW
56:48.1,2.56782E+11,DJGS
03:42.9,2.56787E+11,80G0
35:12.4,2.56312E+11,WLIW
07:15.1,2.56782E+11,WLIW
37:59.5,2.56759E+11,80G0
28:44.6,2.56785E+11,U1DD
43:36.4,2.56786E+11,DJGS
22:07.3,2.56758E+11,T0LZ
55:15.6,2.56703E+11,DJGS
43:34.3,2.56776E+11,WLIW
21:41.8,2.56777E+11,6Q4Z
39:58.1,2.56701E+11,WLIW
52:41.5,2.56774E+11,WLIW
10:15.0,2.56702E+11,80G0
04:26.0,2.567E+11,WLIW
23:19.0,2.56708E+11,3USE
43:45.9,2.56707E+11,DJGS
12:03.5,2.56774E+11,WLIW
55:59.3,2.56773E+11,DJGS
40:52.3,2.56704E+11,80G0
49:28.5,2.56775E+11,Q9SJ
21:30.1,2.56753E+11,U1DD
52:47.6,2.56701E+11,WLIW
55:01.1,2.56786E+11,49DG
57:32.0,2.56706E+11,80G0
50:47.3,2.56784E+11,WLIW
13:01.1,2.56791E+11,80G0
56:16.3,2.56752E+11,3USE
17:04.5,2.56785E+11,WLIW
31:42.2,2.56776E+11,WLIW
06:52.2,2.56774E+11,WLIW
40:14.1,2.56778E+11,T0LZ
47:48.3,2.56774E+11,U1DD
10:51.2,2.56782E+11,80G0
28:46.6,2.56773E+11,WLIW
43:41.8,2.56785E+11,WLIW
04:57.5,2.5675E+11,WLIW
16:30.5,2.56785E+11,WLIW
07:20.4,2.56784E+11,DJGS
53:19.5,2.56755E+11,3USE
28:06.1,2.56701E+11,WLIW
08:21.0,2.56707E+11,DJGS
13:28.6,2.56701E+11,WLIW
12:20.4,2.56753E+11,WLIW
26:48.6,2.56701E+11,80G0
10:35.2,2.56753E+11,U1DD
47:29.4,2.56785E+11,80G0
43:27.0,2.56783E+11,U1DD
54:42.7,2.56778E+11,U1DD
01:38.8,2.56775E+11,U1DD
30:19.7,2.56785E+11,WLIW
56:00.7,2.56709E+11,U1DD
37:21.0,2.56775E+11,WLIW
27:39.2,2.56751E+11,WLIW
08:42.4,2.56783E+11,5YR6
08:57.4,2.56E+11,WLIW
25:41.7,2.56702E+11,6Q4Z
16:40.8,2.56773E+11,U1DD
